ID_ND;id;isolate;aliases;species;biotype;serotype;SNP_profile;country;continent;region;source;detail_of_isolation;year;month;comments;DOI;bioproject_accession;biosample_accession;run_accession;NCBI_assembly_accession;sender;curator;date_entered;datestamp;references
ND_PM0011;82;564;CDC 5960-70;C. turicensis;6;Ctur O4;;USA;North America;;Clinical;;1970;;"Blood isolate. No further clinical information; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2010-01-13;2023-12-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 PLoS One 7:e49455;Joseph et al. 2012 Front Microbiol 3:397;Czerwicka et al. 2013 Carbohydr Res 373:89-92"
ND_PM0012;84;581;NCTC9529T;C. universalis;16c;Cuni O1;;UK;Europe;;Water;;1956;;"Serotype predicted by Crotrait WGS analysis; Species type strain. Freshwater. RefSeq: NZ_CP012257.1";10.1016/j.ijfoodmicro.2021.109405;;;;GCA_001277175.1;3;-1;2010-01-13;2023-12-28;"Joseph et al. 2012 Int J Syst Evol Microbiol 62:1277-83;Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 PLoS One 7:e49455;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0013;110;1211;LMG23827T DSM18703T;C. turicensis;;Ctur O1;;Switzerland;Europe;;Clinical;;2005;;"Serotype predicted by Crotrait WGS analysis; Species type strain. Blood isolate. Fatal infant infection. No further clinical information. RefSeq: NC_013282";10.1016/j.ijfoodmicro.2021.109405;;;;GCA_000027065.2;3;-1;2010-04-29;2024-02-28;"Kucerova et al. 2010 PLoS One 5:e9556;Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0014;112;1330;CECT7863T LMG26250T;C. condimenti;;Ccond O1;;Slovakia;Europe;;Food;;2010;;Spiced sausages.Species type strain. Serotype defined by galF & gnd regions, not PCR primers.;10.1007/s10482-010-9484-7 d;;;;;3;3;2010-04-29;2021-11-27;"Turcovský et al. 2011 Antonie Van Leeuwenhoek 99:257-69;Joseph et al. 2012 Int J Syst Evol Microbiol 62:1277-83;Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 PLoS One 7:e49455;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0015;120;1241;2009-06-02;C. sakazakii;;Csak O4;;USA;North America;;Clinical;;2009;;"Blood isolate.CDC 2008. MMWR Morb Mortal Wkly Rep. 2009;58:1179; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2010-05-04;2023-10-28;"No authors listed 2009 MMWR Morb Mortal Wkly Rep 58:1179-83;Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0016;121;1242;2009-06-03;C. sakazakii;;Csak O4;;USA;North America;;Clinical;;2009;;"Brain isolate. CDC, 2008. MMWR Morb Mortal Wkly Rep. 2009;58:1179; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2010-05-04;2024-02-28;"No authors listed 2009 MMWR Morb Mortal Wkly Rep 58:1179-83;Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0017;124;378;;C. muytjensii;15;Cmuyt O2;;Unknown;;;Unknown;;;;"Iversen et al.(2004)JClinMicrobiol 142: 5368-70    Iversen et al (2006)BMC Microbiology 6:94; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2010-05-16;2024-02-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0018;126;16;;C. muytjensii;15;Cmuyt O3;;Unknown;;;Spice;;2005;;"Ajwan cumin seed Updated from CmuytO1 to O3; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2010-06-05;2024-02-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0019;129;15;;C. malonaticus;8b;Cmal O1;;Czech Republic;Europe;;Clinical;;2003;;Adult, 66 years old. Faecal isolate. No further clinical information.;;;;;;3;-1;2010-06-18;2024-02-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0020;133;101;;C. malonaticus;13c;Cmal O1;;Unknown;;;Spice;;2005;;"Serotype predicted by Crotrait WGS analysis; Whole mix spice";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2010-06-18;2024-02-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0021;140;582;NCTC 9844;C. dublinensis;10;Cdub O2;;UK;Europe;;Unknown;;;;Serotype predicted by Crotrait WGS analysis;10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2010-06-18;2024-02-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 PLoS One 7:e49455;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0022;144;22;;C. malonaticus;8a;Cmal O2;;France;Europe;;Infant formula;;;;Serotype predicted by Crotrait WGS analysis;10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2010-06-22;2024-02-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0023;145;472;;C. malonaticus;5a;Cmal O2;;South Korea;Asia;;Infant formula;;2005;;Serotype predicted by Crotrait WGS analysis;10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2010-06-22;2024-02-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0024;146;1210;LMG23823T DSM18705T DES187 CFS237;C. dublinensis;;Cdub O1a;;Ireland;Europe;;Environmental;;2004;;"Original PCR predicted O-serotype (Cdub O1b) corrected after Crotrait WGS analysis; RefSeq: NZ_CP012266.1; Species type strain. Cdub.dud (Note MLST to date does not support subspeciation, see JCM 50:3031-9, 2012). Isolate from milk powder manufacturing plant.";10.1016/j.ijfoodmicro.2021.109405;;;;GCA_001277235.1;3;-1;2010-06-22;2023-12-28;"Kucerova et al. 2010 PLoS One 5:e9556;Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 PLoS One 7:e49455;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0025;147;563;CDC 0743-75;C. sakazakii;12;Csak O3;;USA;North America;;Clinical;;1975;;"Foot wound isolate. No further clinical information.; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2010-06-22;2023-12-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0026;148;84;;C. dublinensis;6;Cdub O5a;;China;Asia;;Herb;;2004;;"Detailed source : Xanthium fruit; Serotype predicted by Crotrait WGS analysis as Cdub O5, however considering the clustering of IDs 148+2977, and 2491+2492 in the CroTrait manuscript, the curator (SJF) has designated them provisionally as Cdub O5a, and Cdub O5b respectively.";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2010-07-12;2024-02-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0027;151;1132;C dub dub;C. dublinensis;;Cdub O1a;;South Korea;Asia;;Follow up formula;;2008;;"Follow up formula is formula for intended age >6 months; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2010-09-07;2023-12-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0028;152;1133;C dub dub;C. dublinensis;;Cdub O1a;;South Korea;Asia;;Follow up formula;;2008;;"Follow up formula is formula for intended age >6 months; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2010-09-07;2023-12-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0029;153;1129;;C. dublinensis;;Cdub O1a;;South Korea;Asia;;Follow up formula;;2008;;"Follow up formula is formula for intended age >6 months; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2010-09-15;2024-02-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0030;154;1283;;C. sakazakii;;Csak O3;;UK;Europe;;Food;;2010;;"Powdered sports drink; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2010-09-15;2023-10-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0031;156;96;;C. universalis;16a;Cuni O3;;UK;Europe;;Spice;;2004;;Onion powder;;;;;;3;-1;2010-11-15;2023-12-28;"Joseph et al. 2012 Int J Syst Evol Microbiol 62:1277-83;Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0032;176;689;;C. malonaticus;;Cmal O1;;Czech Republic;Europe;;Clinical;;2005;;Adult, 26 years old. Faecal isolate. No further clinical information.;;;;;;3;-1;2011-02-17;2024-02-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0033;177;688;;C. malonaticus;;Cmal O2;;Czech Republic;Europe;;Clinical;;2004;;"Adult, 76 years old. Sputum isolate. No further clinical information.; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2011-02-19;2024-02-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0034;185;1369;;C. malonaticus;;Cmal O1;;UK;Europe;;Herb;;2010;;"Rosemary; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2011-03-28;2024-02-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0035;186;1368;;C. sakazakii;;Csak O3;;UK;Europe;;Food;;2010;;"Powdered sausage casserole; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2011-03-29;2023-12-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0036;187;1371;;C. muytjensii;;Cmuyt O2;;Unknown;;;Spice;;2010;;"Serotype predicted by Crotrait WGS analysis; Whole cumin";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2011-03-29;2024-02-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0037;192;1463;;C. dublinensis;;Cdub O1b;;South Korea;Asia;;Food;;2011;;Original PCR predicted O-serotype (Cdub O1) corrected after Crotrait WGS analysis;10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2011-08-22;2024-02-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0038;193;1458;;C. dublinensis;;Cdub O1a;;South Korea;Asia;;Food;;2011;;Original PCR predicted O-serotype (Cdub O1) corrected after Crotrait WGS analysis;10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2011-08-22;2023-12-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0039;194;1460;;C. dublinensis;;Cdub O2;;South Korea;Asia;;Food;;2011;;Serotype predicted by Crotrait WGS analysis;10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2011-08-22;2023-12-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0040;196;1461;;C. dublinensis;;Cdub O1a;;South Korea;Asia;;Food;;2011;;Original PCR predicted O-serotype (Cdub O1) corrected after Crotrait WGS analysis;10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2011-08-23;2023-10-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0041;197;1462;;C. dublinensis;;Cdub O1a;;South Korea;Asia;;Food;;2011;;Original PCR predicted O-serotype (Cdub O1) corrected after Crotrait WGS analysis;10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2011-08-23;2024-02-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0042;200;1527;;C. muytjensii;;Cmuyt O1;;Slovakia;Europe;;Food;;2010;;;;;;;;3;-1;2011-08-23;2024-02-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0043;213;1546;"6831; CNCTC Eb3/83; EB2";C. malonaticus;;Cmal O2;;Czech Republic;Europe;;Clinical;;;;"Bed swab. No further clinical information.; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2011-11-22;2024-02-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0044;266;1514;;C. malonaticus;;Cmal O3;;Australia;Oceania;;Environmental;;2007;;"PFGE 49. Milk powder processing area. Craven et al. 2010 JAM 109:1044; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2011-11-24;2024-02-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0045;270;1557;H Wisglass P-335;C. sakazakii;1;Csak O2;;Unknown;;;Clinical;;1979;;Bronchi secretion. Wieisglass, H. & Krznaric-Sucic, Z. 1979 Praschechia, a new genus, Praschechia flavescens, a new species, within the family of Azotobacteraeceae. Microbiologia 16, 129-136.  Bronchial secretion of 9 year old girl  CCM 3479;;;;;;3;-1;2011-12-06;2023-12-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0046;316;893;;C. malonaticus;;Cmal O2;;Brazil;South America;;Infant formula;;2007;;Serotype predicted by Crotrait WGS analysis;10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2012-02-23;2024-02-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0047;355;ES15;;C. sakazakii;;Csak O1;;South Korea;Asia;;Food ingredient;;;;"Serotype predicted by Crotrait WGS analysis; Whole grain. Genome sequenced strain.";10.1016/j.ijfoodmicro.2021.109405;;;;;3;3;2012-05-21;2021-09-27;Shin et al. 2012 J Bacteriol 194:4438-9
ND_PM0048;385;1834;;C. malonaticus;;Cmal O2;;Czech Republic;Europe;;Clinical;;2010;;Serotype predicted by Crotrait WGS analysis;10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2012-09-17;2024-02-28;
ND_PM0049;395;Pagg-1838;;other;;Not found;;Czech Republic;Europe;;Clinical;;2012;;;;;;;;3;3;2012-10-12;2021-09-09;
ND_PM0050;399;1827;;C. malonaticus;;Cmal O2;;Czech Republic;Europe;;Clinical;;2007;;Serotype predicted by Crotrait WGS analysis;10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2012-11-21;2024-02-28;
ND_PM0051;400;1828;;C. malonaticus;;Cmal O2;;Czech Republic;Europe;;Clinical;;2007;;Serotype predicted by Crotrait WGS analysis;10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2012-11-21;2024-02-28;
ND_PM0052;402;1830;;C. malonaticus;;Cmal O2;;Czech Republic;Europe;;Clinical;;2007;;Serotype predicted by Crotrait WGS analysis;10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2012-11-21;2024-02-28;
ND_PM0053;405;1833;;C. malonaticus;;Cmal O2;;Czech Republic;Europe;;Clinical;;2010;;Serotype predicted by Crotrait WGS analysis;10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2012-11-21;2024-02-28;
ND_PM0054;406;1835;;C. malonaticus;;Cmal O2;;Czech Republic;Europe;;Clinical;;2012;;Serotype predicted by Crotrait WGS analysis;10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2012-11-21;2024-02-28;
ND_PM0055;407;1879;;C. malonaticus;;Cmal O2;;Czech Republic;Europe;;Spice;;;;"Black pepper; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2012-12-31;2024-02-28;
ND_PM0056;408;1883;;C. universalis;;Cuni O2;;Czech Republic;Europe;;Spice;;;;Sweet pepper. galF amended from 46 to 166.;;;;;;3;-1;2012-12-31;2023-12-28;
ND_PM0057;415;1914;;C. malonaticus;;Cmal O2;;Slovakia;Europe;;Clinical;;2012;;"69y male sputum; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2012-12-31;2024-02-28;
ND_PM0058;418;1917;;C. malonaticus;;Cmal O2;;Czech Republic;Europe;;Clinical;;2012;;"84y male sputum; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2012-12-31;2024-02-28;
ND_PM0059;420;1844;;C. sakazakii;;Csak O3;;Czech Republic;Europe;;Food ingredient;;2010;;"Oat flakes; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2013-01-01;2024-02-28;
ND_PM0060;421;1845;;C. sakazakii;;Csak O2;;Czech Republic;Europe;;Food;;2010;;"Instant lentil soup; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2013-01-01;2023-12-28;
ND_PM0061;425;1881;;C. sakazakii;;Csak O2;;Czech Republic;Europe;;Food ingredient;;2011;;"Serotype predicted by Crotrait WGS analysis; Sesame seed";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2013-01-01;2024-02-28;
ND_PM0062;426;1882;;C. sakazakii;;Csak O3;;Czech Republic;Europe;;Food ingredient;;2011;;"Chick pea; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2013-01-01;2023-12-28;
ND_PM0063;428;1885;;C. sakazakii;;Csak O2;;Czech Republic;Europe;;Herb;;2011;;Herbal tea;;;;;;3;-1;2013-01-01;2023-12-28;
ND_PM0064;429;1886;;C. sakazakii;;Csak O3;;Czech Republic;Europe;;Spice;;2011;;"Nutmeg; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2013-01-01;2024-02-28;
ND_PM0065;430;1887;;C. sakazakii;;Csak O2;;Czech Republic;Europe;;Food;;2011;;Custard powder;;;;;;3;-1;2013-01-01;2023-12-28;
ND_PM0066;431;1888;;C. sakazakii;;Csak O1;;Czech Republic;Europe;;Food;;2011;;"Serotype predicted by Crotrait WGS analysis; Tofu";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2013-01-01;2023-10-28;
ND_PM0067;432;1889;;C. sakazakii;;Csak O4;;Czech Republic;Europe;;Food ingredient;;2011;;"Serotype predicted by Crotrait WGS analysis; Sunflower seed";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2013-01-01;2024-02-28;
ND_PM0068;433;1890;;C. sakazakii;;Csak O2;;Czech Republic;Europe;;Food ingredient;;2011;;"Buckwheat; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2013-01-01;2023-12-28;
ND_PM0069;434;1893;;C. malonaticus;;Cmal O5;;Czech Republic;Europe;;Food ingredient;;2011;;Original PCR predicted O-serotype (Cmal O1) corrected after Crotrait WGS analysis. Cmal O4 is a newly defined serotype. Detailed source: Sesame seed. Note unusual rMLST profile, and gnd is too different to be designated.;10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2013-01-01;2023-04-28;
ND_PM0070;435;1895;;C. turicensis;;Ctur O1;;Czech Republic;Europe;;Food ingredient;;2011;;"Potato starch; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2013-01-01;2024-02-28;
ND_PM0071;436;1906;;C. sakazakii;;Csak O1;;Malaysia;Asia;;Environmental;;2012;;"Milk preparation counter, NICU; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2013-01-01;2024-02-28;
ND_PM0072;442;1877;;C. muytjensii;;Cmuyt O1;;Czech Republic;Europe;;Herb;;2011;;Marjoram;;;;;;3;-1;2013-01-01;2024-02-28;
ND_PM0073;443;1897;;C. dublinensis;;Cdub O2;;Czech Republic;Europe;;Food ingredient;;2011;;"Serotype predicted by Crotrait WGS analysis; Wheat flour";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2013-01-01;2023-12-28;
