ND_ID;Assembly Accession;Annotation Count Gene Non-coding;Annotation Count Gene Protein-coding
ND_NC0116;GCA_044733085.1;94;4146
ND_NC0117;GCA_044734045.1;91;4208
ND_NC0118;GCA_044734205.1;91;4209
ND_NC0119;GCA_044734225.1;90;4146
ND_NC0120;GCA_044734265.1;87;4140
ND_NC0121;GCA_044734345.1;96;4287
ND_NC0122;GCA_044734365.1;86;4210
ND_NC0123;GCA_044734445.1;88;4456
ND_NC0124;GCA_044734505.1;85;4205
ND_NC0125;GCA_044734845.1;88;4354
ND_NC0126;GCA_044735485.1;96;4375
ND_NC0127;GCA_044735525.1;84;4257
ND_NC0128;GCA_044736085.1;88;4192
ND_NC0129;GCA_044820065.1;92;4561
ND_NC0130;GCA_044820105.1;89;4553
ND_NC0131;GCA_044820145.1;90;4619
ND_NC0132;GCA_044863125.1;90;4252
ND_NC0133;GCA_045970235.1;94;4139
ND_NC0134;GCA_045970255.1;92;4240
ND_NC0135;GCA_047337585.1;87;4257
ND_NC0136;GCA_047337605.1;92;4428
ND_NC0137;GCA_047337745.1;90;4347
ND_NC0138;GCA_047337965.1;85;4473
ND_NC0139;GCA_047337985.1;84;4211
ND_NC0140;GCA_047338045.1;94;4183
ND_NC0141;GCA_047338125.1;85;4166
ND_NC0142;GCA_047338165.1;72;4478
ND_NC0143;GCA_047338205.1;80;4297
ND_NC0144;GCA_047338225.1;70;4456
ND_NC0145;GCA_047338265.1;88;4225
ND_NC0146;GCF_000319345.1;90;3698
ND_NC0147;GCF_000319495.1;83;3311
ND_NC0148;GCF_037070295.1;122;4320
ND_NC0149;GCF_037070315.1;102;4169
ND_NC0150;GCF_037070335.1;115;4340
ND_NC0151;GCF_037070345.1;118;4104
ND_NC0152;GCF_037070395.1;108;4174
ND_NC0153;GCF_037070405.1;97;4168
ND_NC0154;GCF_037070505.1;115;4059
ND_NC0155;GCF_037070535.1;116;4102
ND_NC0156;GCF_037070575.1;113;4175
ND_NC0157;GCA_016085915.1;93;4146
ND_NC0158;GCA_016085995.1;86;4146
ND_NC0159;GCA_016086035.1;94;4144
ND_NC0160;GCA_016086045.1;92;4127
ND_NC0161;GCA_016086255.1;87;4151
ND_NC0162;GCA_016086335.1;87;4179
ND_NC0163;GCA_016086855.1;70;4224
ND_NC0164;GCA_016086875.1;96;4284
ND_NC0165;GCA_016086975.1;91;4141
ND_NC0166;GCA_016087015.1;94;4113
ND_NC0167;GCA_016087035.1;96;4091
ND_NC0168;GCA_016087115.1;90;4139
ND_NC0169;GCA_016087195.1;91;4277
ND_NC0170;GCA_016087255.1;93;4138
ND_NC0171;GCA_037070255.1;;
ND_NC0172;GCA_037070275.1;;
ND_NC0173;GCA_037070365.1;;
ND_NC0174;GCA_037070415.1;;
ND_NC0175;GCA_037070435.1;;
ND_NC0176;GCA_037070455.1;;
ND_NC0177;GCA_037070475.1;;
ND_NC0178;GCA_037070495.1;;
ND_NC0179;GCA_037070555.1;;
ND_NC0180;GCA_037070595.1;;
ND_NC0181;GCA_037070615.1;;
ND_NC0182;GCA_037070635.1;;
ND_NC0183;GCA_037070655.1;;
ND_NC0184;GCA_037070675.1;;
ND_NC0185;GCA_037070695.1;;
ND_NC0186;GCA_037070715.1;;
ND_NC0187;GCA_037070735.1;;
ND_NC0188;GCF_001277235.1;115;4233
ND_NC0189;GCF_000409225.1;89;4239
ND_NC0190;GCF_000409345.1;133;3924
ND_NC0191;GCF_000409365.1;148;4200
ND_NC0192;GCF_000504545.1;122;4205
ND_NC0193;GCF_000742335.1;122;4365
ND_NC0194;GCF_000742345.1;119;3999
ND_NC0195;GCF_000742355.1;135;4297
ND_NC0196;GCF_000742395.1;129;4185
ND_NC0197;GCF_000742405.1;110;4294
ND_NC0198;GCF_001922805.1;88;4278
ND_NC0199;GCF_001922825.1;87;4274
ND_NC0200;GCF_001922875.1;88;4080
ND_NC0201;GCF_002093915.1;86;4581
ND_NC0202;GCF_002978135.2;129;4085
ND_NC0203;GCF_002978155.1;113;4087
ND_NC0204;GCF_002978165.1;104;3999
ND_NC0205;GCF_002978175.1;103;3959
ND_NC0206;GCF_002978185.1;114;4007
ND_NC0207;GCF_002978235.1;123;4024
ND_NC0208;GCF_002978245.1;160;4142
ND_NC0209;GCF_002978275.1;99;4089
ND_NC0210;GCF_002978285.1;100;3883
ND_NC0211;GCF_002978315.1;98;4020
ND_NC0212;GCF_002978325.1;100;4084
ND_NC0213;GCF_002978335.1;84;3859
ND_NC0214;GCF_002978375.1;121;3904
ND_NC0215;GCF_002978385.1;114;4008
ND_NC0216;GCF_002978395.1;83;3969
ND_NC0217;GCF_002978405.2;116;4293
ND_NC0218;GCF_002978455.1;118;4205
ND_NC0219;GCF_002978475.1;124;4169
ND_NC0220;GCF_002978485.1;98;4249
ND_NC0221;GCF_002978495.1;91;3970
ND_NC0222;GCF_002978535.1;159;3990
ND_NC0223;GCF_002978545.1;133;4095
ND_NC0224;GCF_002978565.1;85;4073
ND_NC0225;GCF_002983535.1;114;4145
ND_NC0226;GCF_002983555.1;93;4168
ND_NC0227;GCF_002983565.1;133;4002
ND_NC0228;GCF_002983575.1;94;3784
ND_NC0229;GCF_003795605.1;87;4137
ND_NC0230;GCF_003858305.1;88;3981
ND_NC0231;GCF_009938405.1;45;3815
ND_NC0232;GCF_009938605.1;100;4273
ND_NC0233;GCF_009938615.1;91;4305
ND_NC0234;GCF_009938655.1;87;3975
ND_NC0235;GCF_009938735.1;96;3941
ND_NC0236;GCF_009938865.1;99;4059
ND_NC0237;GCF_013186065.1;92;3987
ND_NC0238;GCF_015350615.1;85;4076
ND_NC0239;GCF_015353245.1;90;4067
ND_NC0240;GCF_015353415.1;93;3985
ND_NC0241;GCF_015353475.1;91;4084
ND_NC0242;GCF_015353485.1;86;4093
ND_NC0243;GCF_015353535.1;90;4076
ND_NC0244;GCF_015353545.1;88;4055
ND_NC0245;GCF_015353655.1;91;3983
ND_NC0246;GCF_015353775.1;89;3983
ND_NC0247;GCF_015354035.1;92;4058
ND_NC0248;GCF_030011955.1;87;4193
ND_NC0249;GCF_030012075.1;87;4058
ND_NC0250;GCF_030012085.1;90;4064
ND_NC0251;GCF_030026485.1;89;4328
ND_NC0252;GCF_030026805.1;91;4056
ND_NC0253;GCF_030026815.1;81;4013
ND_NC0254;GCF_030055315.1;88;4077
ND_NC0255;GCF_030055375.1;91;4046
ND_NC0256;GCF_030126265.1;91;4198
ND_NC0257;GCF_030126685.1;89;4122
ND_NC0258;GCF_030126825.1;87;4121
ND_NC0259;GCF_030126845.1;96;4106
ND_NC0260;GCF_030127265.1;87;4218
ND_NC0261;GCF_032025765.1;74;4022
ND_NC0262;GCF_032026045.1;72;4220
ND_NC0263;GCF_032026265.1;74;4225
ND_NC0264;GCF_032026395.1;78;4012
ND_NC0265;GCF_032026545.1;79;3976
ND_NC0266;GCF_032026745.1;82;4336
ND_NC0267;GCF_032026825.1;72;3958
ND_NC0268;GCF_032026865.1;83;4153
ND_NC0269;GCF_032854045.1;116;4032
ND_NC0270;GCF_033798545.1;94;4013
ND_NC0271;GCF_033798565.1;99;4128
ND_NC0272;GCF_033798585.1;95;4156
ND_NC0273;GCF_035658535.1;118;4272
ND_NC0274;GCF_035796035.1;92;4037
ND_NC0275;GCF_035796095.1;90;3948
ND_NC0276;GCF_040276445.1;117;3963
ND_NC0277;GCF_041222915.1;121;4149
ND_NC0278;GCF_041222925.1;124;4114
ND_NC0279;GCF_045257745.1;118;4103
ND_NC0280;GCF_902387685.1;129;4169
ND_NC0281;GCA_016070655.1;75;4225
ND_NC0282;GCA_016070675.1;82;4259
ND_NC0283;GCA_016076375.1;103;4189
ND_NC0284;GCA_016076405.1;96;4250
ND_NC0285;GCA_016076495.1;97;4294
ND_NC0286;GCA_016076615.1;97;4259
ND_NC0287;GCA_016076695.1;99;4373
ND_NC0288;GCA_016076835.1;90;4049
ND_NC0289;GCA_016076975.1;95;4258
ND_NC0290;GCA_016077015.1;98;4214
ND_NC0291;GCA_016077135.1;97;4297
ND_NC0292;GCA_016077195.1;89;4055
ND_NC0293;GCA_016077245.1;86;3937
ND_NC0294;GCA_016077335.1;107;4065
ND_NC0295;GCA_016077355.1;107;4072
ND_NC0296;GCA_016077465.1;90;4046
ND_NC0297;GCA_016077535.1;100;4347
ND_NC0298;GCA_029224145.1;89;3969
ND_NC0299;GCA_030736515.1;84;3958
ND_NC0300;GCA_032854945.1;97;4149
ND_NC0301;GCA_032855285.1;97;4161
ND_NC0302;GCA_032856285.1;103;4134
ND_NC0303;GCA_033896265.1;93;4013
ND_NC0304;GCA_033896705.1;90;4037
ND_NC0305;GCA_033897445.1;92;4378
ND_NC0306;GCA_033940385.1;90;4047
ND_NC0307;GCA_033942125.1;88;4156
ND_NC0308;GCA_033942945.1;90;3979
ND_NC0309;GCA_033944425.1;99;4148
ND_NC0310;GCA_033944535.1;101;4130
ND_NC0311;GCA_033944965.1;95;4316
ND_NC0312;GCA_033945045.1;98;4142
ND_NC0313;GCA_033946905.1;90;4169
ND_NC0314;GCA_033946945.1;90;4142
ND_NC0315;GCA_033960725.1;86;4169
ND_NC0316;GCA_033961125.1;90;4398
ND_NC0317;GCA_033961225.1;95;4187
ND_NC0318;GCA_033962535.1;90;4229
ND_NC0319;GCA_033962655.1;97;4387
ND_NC0320;GCA_033962675.1;97;4391
ND_NC0321;GCA_033963075.1;96;4137
ND_NC0322;GCA_033963245.1;97;4134
ND_NC0323;GCA_033963485.1;95;4238
ND_NC0324;GCA_033963765.1;95;4227
ND_NC0325;GCA_034264435.1;92;4013
ND_NC0326;GCA_034408585.1;93;4155
ND_NC0327;GCA_035867845.1;93;4429
ND_NC0328;GCA_035874375.1;96;4438
ND_NC0329;GCA_035874835.1;96;4446
ND_NC0330;GCA_044710895.1;96;4048
ND_NC0331;GCA_044711295.1;92;4141
ND_NC0332;GCA_044732285.1;99;4288
ND_NC0333;GCA_044732965.1;99;4283
ND_NC0334;GCA_044733025.1;93;4194
ND_NC0335;GCA_044733045.1;98;4222
ND_NC0336;GCA_044733065.1;96;4048
ND_NC0337;GCA_044733945.1;90;4030
ND_NC0338;GCA_044736125.1;90;4316
ND_NC0339;GCA_044820085.1;91;4006
ND_NC0340;GCA_044820125.1;88;4046
ND_NC0341;GCA_044820165.1;90;4004
ND_NC0342;GCA_045228935.1;95;4198
ND_NC0343;GCA_045228955.1;86;4221
ND_NC0344;GCA_045230055.1;86;4233
ND_NC0345;GCA_045230075.1;89;4187
ND_NC0346;GCA_045230095.1;88;4217
ND_NC0347;GCA_045230115.1;90;4198
ND_NC0348;GCA_045230135.1;89;4205
ND_NC0349;GCA_045230215.1;88;4201
ND_NC0350;GCA_045230255.1;89;4206
ND_NC0351;GCA_045230295.1;90;4192
ND_NC0352;GCA_045328655.1;93;4200
ND_NC0353;GCA_046447005.1;92;4257
ND_NC0354;GCA_046447145.1;93;4239
ND_NC0355;GCA_046447365.1;93;4227
ND_NC0356;GCA_046461075.1;89;4232
ND_NC0357;GCA_046461155.1;92;4199
ND_NC0358;GCA_046461175.1;91;4196
ND_NC0359;GCA_046461295.1;90;4230
ND_NC0360;GCA_046461335.1;92;4226
ND_NC0361;GCA_046461355.1;90;4281
ND_NC0362;GCA_046463705.1;88;4192
ND_NC0363;GCA_047306145.1;91;4167
ND_NC0364;GCA_047306165.1;91;4180
ND_NC0365;GCA_047306205.1;93;4203
ND_NC0366;GCA_047306245.1;93;4161
ND_NC0367;GCA_047306265.1;90;4175
ND_NC0368;GCA_047306285.1;85;4167
ND_NC0369;GCA_047306325.1;88;4202
ND_NC0370;GCA_047306345.1;93;4158
ND_NC0371;GCA_047306365.1;86;4207
ND_NC0372;GCA_047306385.1;86;4163
ND_NC0373;GCA_047306485.1;89;4184
ND_NC0374;GCA_047306505.1;81;4160
ND_NC0375;GCA_047306545.1;85;4226
ND_NC0376;GCA_047306645.1;88;4148
ND_NC0377;GCA_047306945.1;92;4183
ND_NC0378;GCA_047323145.1;89;4206
ND_NC0379;GCA_047337945.1;88;4276
ND_NC0380;GCA_937922025.1;;
ND_NC0381;GCA_937922575.1;;
ND_NC0382;GCF_000319555.1;62;3618
ND_NC0383;GCF_000319535.1;75;3552
ND_NC0384;GCF_000878475.1;74;4011
ND_NC0385;GCF_001277215.2;121;4090
ND_NC0386;GCF_000409305.1;83;4117
ND_NC0387;GCF_041222875.1;121;3973
ND_NC0388;GCF_001922855.1;76;3960
ND_NC0389;GCF_008805515.1;81;3960
ND_NC0390;GCF_009938485.1;72;3525
ND_NC0391;GCF_009938515.1;83;3784
ND_NC0392;GCF_013363965.1;90;4272
ND_NC0393;GCF_015353315.1;83;3954
ND_NC0394;GCF_030012015.1;97;4117
ND_NC0395;GCF_035796135.1;91;4055
ND_NC0396;GCF_040983965.1;113;4219
ND_NC0397;GCA_016076515.1;94;4153
ND_NC0398;GCA_029616845.1;93;4139
ND_NC0399;GCA_033896145.1;90;4070
ND_NC0400;GCA_033942255.1;90;4046
ND_NC0401;GCA_033944725.1;92;3958
ND_NC0402;GCA_033945125.1;89;4003
ND_NC0403;GCA_033945465.1;98;4145
ND_NC0404;GCA_033962455.1;99;4044
ND_NC0405;GCA_033962795.1;100;4083
ND_NC0406;GCA_033963425.1;91;3952
ND_NC0407;GCA_044732125.1;90;4131
ND_NC0408;GCA_044733985.1;98;4058
ND_NC0409;GCA_047338245.1;69;4270
ND_NC0410;GCF_001277195.1;122;3938
ND_NC0411;GCF_000409285.1;82;3959
ND_NC0412;GCF_003516125.1;118;4050
ND_NC0413;GCF_000698225.1;105;4095
ND_NC0414;GCF_000974965.1;82;4168
ND_NC0415;GCF_000982825.1;122;4311
ND_NC0416;GCF_001277275.1;118;4214
ND_NC0417;GCF_001308935.1;134;4227
ND_NC0418;GCF_001308945.1;134;4074
ND_NC0419;GCF_001308955.1;64;4509
ND_NC0420;GCF_001308965.1;132;4194
ND_NC0421;GCF_001309015.1;135;4203
ND_NC0422;GCF_001309035.1;129;4199
ND_NC0423;GCF_001309045.1;136;4238
ND_NC0424;GCF_001309055.1;134;4190
ND_NC0425;GCF_001309095.1;114;4322
ND_NC0426;GCF_001309115.1;112;4287
ND_NC0427;GCF_001309135.1;136;4187
ND_NC0428;GCF_001309155.1;112;4314
ND_NC0429;GCF_001309175.1;113;4190
ND_NC0430;GCF_001309185.1;112;4193
ND_NC0431;GCF_001309215.1;132;4187
ND_NC0432;GCF_001309225.1;134;4184
ND_NC0433;GCF_001309235.1;125;4446
ND_NC0434;GCF_001309275.1;134;4212
ND_NC0435;GCF_001309295.1;132;4185
ND_NC0436;GCF_001309305.1;112;4183
ND_NC0437;GCF_001309315.1;117;4312
ND_NC0438;GCF_001309345.1;112;4177
ND_NC0439;GCF_001309375.1;120;4225
ND_NC0440;GCF_001309385.1;117;4316
ND_NC0441;GCF_001309415.1;131;4236
ND_NC0442;GCF_001309435.1;132;4209
ND_NC0443;GCF_001619915.1;101;3994
ND_NC0444;GCF_001735605.1;87;4086
ND_NC0445;GCF_001922925.1;86;4371
ND_NC0446;GCF_001922945.1;80;4151
ND_NC0447;GCF_001971035.1;56;4644
ND_NC0448;GCF_001971105.1;51;4341
ND_NC0449;GCF_001971115.1;80;4177
ND_NC0450;GCF_001971135.1;53;4126
ND_NC0451;GCF_001971195.1;62;4570
ND_NC0452;GCF_001971205.1;76;4435
ND_NC0453;GCF_001971315.1;76;4536
ND_NC0454;GCF_001971365.1;69;4455
ND_NC0455;GCF_001971375.1;64;4399
ND_NC0456;GCF_001971405.1;72;4472
ND_NC0457;GCF_001971415.1;73;4330
ND_NC0458;GCF_001971445.1;77;4590
ND_NC0459;GCF_001972225.1;45;4636
ND_NC0460;GCF_001972245.1;56;4637
ND_NC0461;GCF_002071735.1;87;4124
ND_NC0462;GCF_002071755.1;100;4102
ND_NC0463;GCF_002071765.2;117;4174
ND_NC0464;GCF_002071775.1;83;4119
ND_NC0465;GCF_002071815.1;88;4102
ND_NC0466;GCF_002075415.1;82;4413
ND_NC0467;GCF_002075425.1;85;4245
ND_NC0468;GCF_002075435.1;76;4170
ND_NC0469;GCF_002075445.1;85;4430
ND_NC0470;GCF_002075495.1;78;4299
ND_NC0471;GCF_002075505.1;81;4222
ND_NC0472;GCF_002075535.1;88;3951
ND_NC0473;GCF_002075545.1;79;4180
ND_NC0474;GCF_002075555.1;85;4240
ND_NC0475;GCF_002075575.1;83;4085
ND_NC0476;GCF_002075615.1;84;4266
ND_NC0477;GCF_002075635.1;85;4278
ND_NC0478;GCF_002075645.1;89;4216
ND_NC0479;GCF_002075655.1;90;4275
ND_NC0480;GCF_002075695.1;84;4303
ND_NC0481;GCF_002075715.1;82;4094
ND_NC0482;GCF_002075725.1;90;4203
ND_NC0483;GCF_002075735.1;88;4205
ND_NC0484;GCF_002075775.1;83;4393
ND_NC0485;GCF_002093925.1;91;3979
ND_NC0486;GCF_002094435.1;104;3914
ND_NC0487;GCF_002094475.1;133;4192
ND_NC0488;GCF_002094485.1;97;4008
ND_NC0489;GCF_002094495.1;220;4319
ND_NC0490;GCF_002094505.1;68;3987
ND_NC0491;GCF_002094555.1;88;4060
ND_NC0492;GCF_002094575.1;128;4140
ND_NC0493;GCF_002094585.1;128;4172
ND_NC0494;GCF_002094595.1;59;3851
ND_NC0495;GCF_002094635.1;51;3886
ND_NC0496;GCF_002094645.1;113;4130
ND_NC0497;GCF_002094665.1;126;4254
ND_NC0498;GCF_002094675.1;114;4140
ND_NC0499;GCF_002094715.1;82;3884
ND_NC0500;GCF_002094725.1;86;4107
ND_NC0501;GCF_002094755.1;119;4010
ND_NC0502;GCF_002095015.1;64;3929
ND_NC0503;GCF_002101415.1;86;4105
ND_NC0504;GCF_002101425.1;82;4089
ND_NC0505;GCF_002101435.1;79;4101
ND_NC0506;GCF_002101445.1;87;4425
ND_NC0507;GCF_002101495.1;84;4266
ND_NC0508;GCF_002101505.1;82;4172
ND_NC0509;GCF_002101515.1;87;4150
ND_NC0510;GCF_002102535.1;77;4233
ND_NC0511;GCF_002107645.1;81;4246
ND_NC0512;GCF_002107665.1;88;4264
ND_NC0513;GCF_002107695.1;82;4235
ND_NC0514;GCF_002107705.1;82;4079
ND_NC0515;GCF_002107715.1;114;4033
ND_NC0516;GCF_002107755.1;77;4227
ND_NC0517;GCF_002107765.1;89;4291
ND_NC0518;GCF_002107775.1;83;4163
ND_NC0519;GCF_002107815.1;78;4150
ND_NC0520;GCF_002107825.1;91;3978
ND_NC0521;GCF_002107855.1;83;4093
ND_NC0522;GCF_002107865.1;78;3965
ND_NC0523;GCF_002107895.1;76;4211
ND_NC0524;GCF_002107915.1;74;4092
ND_NC0525;GCF_002114505.1;78;4373
ND_NC0526;GCF_002114515.1;79;4447
ND_NC0527;GCF_002114555.1;78;4252
ND_NC0528;GCF_002166885.1;92;4146
ND_NC0529;GCF_002166945.1;87;4117
ND_NC0530;GCF_002198775.1;91;4099
ND_NC0531;GCF_002198805.1;99;4294
ND_NC0532;GCF_002198815.1;89;4199
ND_NC0533;GCF_002198825.1;78;4170
ND_NC0534;GCF_002198855.1;84;4209
ND_NC0535;GCF_002198865.1;79;4193
ND_NC0536;GCF_002198885.1;86;4345
ND_NC0537;GCF_002198925.1;78;4440
ND_NC0538;GCF_002198935.1;85;4425
ND_NC0539;GCF_002198945.1;77;4225
ND_NC0540;GCF_002198975.1;84;4337
ND_NC0541;GCF_002198995.1;85;4116
ND_NC0542;GCF_002199005.1;90;4301
ND_NC0543;GCF_002199045.1;85;4302
ND_NC0544;GCF_002199055.1;87;4296
ND_NC0545;GCF_002199065.1;91;4297
ND_NC0546;GCF_002199095.1;82;4289
ND_NC0547;GCF_002199105.1;84;4240
ND_NC0548;GCF_002200235.1;92;4227
ND_NC0549;GCF_002532205.1;89;4074
ND_NC0550;GCF_002532235.1;86;4160
ND_NC0551;GCF_002532275.1;84;4078
ND_NC0552;GCF_002532295.1;75;3984
ND_NC0553;GCF_002532315.1;84;4251
ND_NC0554;GCF_002532335.1;87;4080
ND_NC0555;GCF_002532355.1;84;4209
ND_NC0556;GCF_002532375.1;84;4142
ND_NC0557;GCF_002532395.1;86;4075
ND_NC0558;GCF_002532415.1;85;4071
ND_NC0559;GCF_002532435.1;83;4237
ND_NC0560;GCF_002532455.1;87;3970
ND_NC0561;GCF_002532465.1;93;4039
ND_NC0562;GCF_002532485.1;80;4085
ND_NC0563;GCF_002532515.2;84;3966
ND_NC0564;GCF_002532525.1;88;4072
ND_NC0565;GCF_002532545.1;91;3965
ND_NC0566;GCF_002942065.1;84;4238
ND_NC0567;GCF_002942075.1;81;4004
ND_NC0568;GCF_002942105.1;84;3972
ND_NC0569;GCF_002942115.1;79;4244
ND_NC0570;GCF_002942145.1;81;4120
ND_NC0571;GCF_002942165.1;76;4213
ND_NC0572;GCF_002942185.1;80;4062
ND_NC0573;GCF_002942205.1;80;4211
ND_NC0574;GCF_002942225.1;97;4151
ND_NC0575;GCF_002942245.1;89;4063
ND_NC0576;GCF_002942265.1;79;4127
ND_NC0577;GCF_002942285.1;86;4133
ND_NC0578;GCF_002942305.1;83;4234
ND_NC0579;GCF_002942325.1;84;4127
ND_NC0580;GCF_002942335.1;80;4083
ND_NC0581;GCF_002942365.1;84;4035
ND_NC0582;GCF_002942385.1;80;4208
ND_NC0583;GCF_002942405.1;91;4061
ND_NC0584;GCF_002942415.1;85;4054
ND_NC0585;GCF_002974355.1;89;4460
ND_NC0586;GCF_002974375.1;77;4038
ND_NC0587;GCF_002974395.1;80;4124
ND_NC0588;GCF_002974415.1;82;3963
ND_NC0589;GCF_002974425.1;79;4117
ND_NC0590;GCF_002974455.1;78;4131
ND_NC0591;GCF_002974475.1;89;3924
ND_NC0592;GCF_002974495.1;86;4314
ND_NC0593;GCF_002974505.1;82;3962
ND_NC0594;GCF_002974535.1;86;4004
ND_NC0595;GCF_002974555.1;85;4027
ND_NC0596;GCF_002974575.1;86;3961
ND_NC0597;GCF_002974595.1;79;4059
ND_NC0598;GCF_002974615.1;80;4225
ND_NC0599;GCF_002974635.1;88;4174
ND_NC0600;GCF_002974645.1;91;4195
ND_NC0601;GCF_002974675.1;87;4053
ND_NC0602;GCF_002974695.1;81;4049
ND_NC0603;GCF_002974715.1;84;4035
ND_NC0604;GCF_002974735.1;89;3952
ND_NC0605;GCF_002974755.1;87;3965
ND_NC0606;GCF_002974775.1;89;4106
ND_NC0607;GCF_002974795.1;84;4115
